cohort,week,active_users,total_users,retention_rate
2025-04,0,0,523,0.0
2025-04,1,9,523,0.017208413001912046
2025-04,2,68,523,0.13001912045889102
2025-04,3,111,523,0.21223709369024857
2025-04,4,156,523,0.2982791586998088
2025-04,5,155,523,0.29636711281070743
2025-04,6,168,523,0.32122370936902483
2025-04,7,154,523,0.2944550669216061
2025-04,8,149,523,0.28489483747609945
2025-04,9,146,523,0.27915869980879543
2025-04,10,155,523,0.29636711281070743
2025-04,11,154,523,0.2944550669216061
2025-04,12,152,523,0.29063097514340347
2025-05,0,49,802,0.06109725685785536
2025-05,1,104,802,0.12967581047381546
2025-05,2,147,802,0.18329177057356608
2025-05,3,201,802,0.2506234413965087
2025-05,4,247,802,0.30798004987531175
2025-05,5,252,802,0.314214463840399
2025-05,6,252,802,0.314214463840399
2025-05,7,266,802,0.3316708229426434
2025-05,8,256,802,0.3192019950124688
2025-05,9,262,802,0.3266832917705736
2025-05,10,253,802,0.31546134663341646
2025-05,11,266,802,0.3316708229426434
2025-05,12,241,802,0.300498753117207
2025-06,0,39,831,0.04693140794223827
2025-06,1,100,831,0.12033694344163658
2025-06,2,168,831,0.20216606498194944
2025-06,3,241,831,0.29001203369434414
2025-06,4,275,831,0.3309265944645006
2025-06,5,277,831,0.3333333333333333
2025-06,6,269,831,0.3237063778580024
2025-06,7,290,831,0.3489771359807461
2025-06,8,290,831,0.3489771359807461
2025-06,9,284,831,0.3417569193742479
2025-06,10,279,831,0.33574007220216606
2025-06,11,297,831,0.3574007220216607
2025-06,12,272,831,0.32731648616125153
2025-07,0,41,820,0.05
2025-07,1,110,820,0.13414634146341464
2025-07,2,175,820,0.21341463414634146
2025-07,3,229,820,0.27926829268292686
2025-07,4,297,820,0.3621951219512195
2025-07,5,276,820,0.33658536585365856
2025-07,6,290,820,0.35365853658536583
2025-07,7,292,820,0.35609756097560974
2025-07,8,298,820,0.36341463414634145
2025-07,9,297,820,0.3621951219512195
2025-07,10,280,820,0.34146341463414637
2025-07,11,279,820,0.3402439024390244
2025-07,12,263,820,0.3207317073170732
2025-08,0,42,881,0.04767309875141884
2025-08,1,119,881,0.13507377979568672
2025-08,2,185,881,0.20998864926220204
2025-08,3,278,881,0.3155505107832009
2025-08,4,325,881,0.3688989784335982
2025-08,5,328,881,0.37230419977298523
2025-08,6,326,881,0.37003405221339386
2025-08,7,333,881,0.3779795686719637
2025-08,8,337,881,0.38251986379114644
2025-08,9,340,881,0.3859250851305335
2025-08,10,342,881,0.38819523269012485
2025-08,11,343,881,0.38933030646992056
2025-08,12,346,881,0.3927355278093076
2025-09,0,66,806,0.08188585607940446
2025-09,1,144,806,0.17866004962779156
2025-09,2,191,806,0.2369727047146402
2025-09,3,279,806,0.34615384615384615
2025-09,4,319,806,0.3957816377171216
2025-09,5,336,806,0.41687344913151364
2025-09,6,341,806,0.4230769230769231
2025-09,7,346,806,0.4292803970223325
2025-09,8,311,806,0.3858560794044665
2025-09,9,332,806,0.4119106699751861
2025-09,10,350,806,0.43424317617866004
2025-09,11,327,806,0.4057071960297767
2025-09,12,324,806,0.40198511166253104
2025-10,0,41,805,0.05093167701863354
2025-10,1,135,805,0.16770186335403728
2025-10,2,243,805,0.3018633540372671
2025-10,3,289,805,0.3590062111801242
2025-10,4,350,805,0.43478260869565216
2025-10,5,358,805,0.44472049689440996
2025-10,6,367,805,0.45590062111801244
2025-10,7,349,805,0.4335403726708075
2025-10,8,359,805,0.44596273291925465
2025-10,9,358,805,0.44472049689440996
2025-10,10,350,805,0.43478260869565216
2025-10,11,367,805,0.45590062111801244
2025-10,12,346,805,0.4298136645962733
2025-11,0,53,831,0.06377858002406739
2025-11,1,140,831,0.1684717208182912
2025-11,2,251,831,0.3020457280385078
2025-11,3,356,831,0.42839951865222625
2025-11,4,425,831,0.5114320096269555
2025-11,5,424,831,0.5102286401925391
2025-11,6,394,831,0.4741275571600481
2025-11,7,419,831,0.5042117930204573
2025-11,8,414,831,0.4981949458483754
2025-11,9,421,831,0.50661853188929
2025-11,10,425,831,0.5114320096269555
2025-11,11,408,831,0.49097472924187724
2025-11,12,404,831,0.4861612515042118
2025-12,0,63,849,0.07420494699646643
2025-12,1,175,849,0.2061248527679623
2025-12,2,283,849,0.3333333333333333
2025-12,3,363,849,0.4275618374558304
2025-12,4,440,849,0.5182567726737338
2025-12,5,446,849,0.525323910482921
2025-12,6,460,849,0.541813898704358
2025-12,7,443,849,0.5217903415783275
2025-12,8,461,849,0.5429917550058893
2025-12,9,440,849,0.5182567726737338
2025-12,10,458,849,0.5394581861012956
2025-12,11,452,849,0.5323910482921084
2025-12,12,452,849,0.5323910482921084
2026-01,0,81,834,0.09712230215827339
2026-01,1,196,834,0.23501199040767387
2026-01,2,337,834,0.4040767386091127
2026-01,3,461,834,0.552757793764988
2026-01,4,501,834,0.6007194244604317
2026-01,5,513,834,0.6151079136690647
2026-01,6,504,834,0.60431654676259
2026-01,7,505,834,0.605515587529976
2026-01,8,527,834,0.63189448441247
2026-01,9,518,834,0.6211031175059952
2026-01,10,523,834,0.6270983213429256
2026-01,11,515,834,0.617505995203837
2026-01,12,496,834,0.5947242206235012
2026-02,0,102,829,0.12303980699638119
2026-02,1,237,829,0.2858866103739445
2026-02,2,357,829,0.43063932448733416
2026-02,3,518,829,0.6248492159227985
2026-02,4,546,829,0.6586248492159228
2026-02,5,538,829,0.6489746682750301
2026-02,6,536,829,0.646562123039807
2026-02,7,529,829,0.638118214716526
2026-02,8,533,829,0.6429433051869723
2026-02,9,536,829,0.646562123039807
2026-02,10,207,829,0.24969843184559712
2026-02,11,0,829,0.0
2026-02,12,0,829,0.0
2026-03,0,126,867,0.1453287197231834
2026-03,1,256,867,0.2952710495963091
2026-03,2,404,867,0.4659746251441753
2026-03,3,566,867,0.6528258362168397
2026-03,4,633,867,0.7301038062283737
2026-03,5,634,867,0.7312572087658593
2026-03,6,389,867,0.4486735870818916
2026-03,7,0,867,0.0
2026-03,8,0,867,0.0
2026-03,9,0,867,0.0
2026-03,10,0,867,0.0
2026-03,11,0,867,0.0
2026-03,12,0,867,0.0
2026-04,0,139,322,0.43167701863354035
2026-04,1,219,322,0.6801242236024845
2026-04,2,0,322,0.0
2026-04,3,0,322,0.0
2026-04,4,0,322,0.0
2026-04,5,0,322,0.0
2026-04,6,0,322,0.0
2026-04,7,0,322,0.0
2026-04,8,0,322,0.0
2026-04,9,0,322,0.0
2026-04,10,0,322,0.0
2026-04,11,0,322,0.0
2026-04,12,0,322,0.0
